,종목코드,종목명,종류
593,016250,이테크건설,KOSDAQ
594,016360,삼성증권,KOSPI
595,016380,동부제철,KOSPI
596,016385,동부제철우,KOSPI
597,016450,한세예스24홀딩스,KOSPI
598,016580,환인제약,KOSPI
599,016590,신대양제지,KOSPI
600,016600,큐캐피탈,KOSDAQ
601,016610,DB금융투자,KOSPI
602,016670,포비스티앤씨,KOSDAQ
603,016710,대성홀딩스,KOSPI
604,016740,두올,KOSPI
605,016800,퍼시스,KOSPI
606,016880,웅진,KOSPI
607,017000,신원종합개발,KOSDAQ
608,017040,광명전기,KOSPI
609,017180,명문제약,KOSPI
610,017250,인터엠,KOSDAQ
611,017370,우신시스템,KOSPI
612,017390,서울가스,KOSPI
613,017480,삼현철강,KOSDAQ
614,017510,세명전기,KOSDAQ
615,017550,수산중공업,KOSPI
616,017650,대림제지,KOSDAQ
617,017670,SK텔레콤,KOSPI
618,017680,데코네티션,KOSDAQ
619,017800,현대엘리베이,KOSPI
620,017810,풀무원홀딩스,KOSPI
621,017890,한국알콜,KOSDAQ
622,017900,광전자,KOSPI
623,017940,E1,KOSPI
624,017960,한국카본,KOSPI
625,018000,유니슨,KOSDAQ
626,018120,진로발효,KOSDAQ
627,018250,애경산업,KOSPI
628,018260,삼성에스디에스,KOSPI
629,018290,지엠피,KOSDAQ
630,018310,삼목에스폼,KOSDAQ
631,018470,조일알미늄,KOSPI
632,018500,동원금속,KOSPI
633,018620,우진비앤지,KOSDAQ
634,018670,SK가스,KOSPI
635,018680,서울제약,KOSDAQ
636,018700,바른손,KOSDAQ
637,018880,한온시스템,KOSPI
638,019010,그랜드백화점,KOSDAQ
639,019170,신풍제약,KOSPI
640,019175,신풍제약우,KOSPI
641,019180,티에이치엔,KOSPI
642,019210,와이지-원,KOSDAQ
643,019440,세아특수강,KOSPI
644,019490,하이트론,KOSPI
645,019540,일지테크,KOSDAQ
646,019550,SBI인베스트먼트,KOSDAQ
647,019570,제미니투자,KOSDAQ
648,019590,엠벤처투자,KOSDAQ
649,019660,글로본,KOSDAQ
650,019680,대교,KOSPI
651,019685,대교우B,KOSPI
652,019770,서연탑메탈,KOSDAQ
653,019990,에너토크,KOSDAQ
654,020000,한섬,KOSPI
655,020120,다우인큐브,KOSPI
656,020150,일진머티리얼즈,KOSPI
657,020180,대신정보통신,KOSDAQ
658,020400,대동금속,KOSDAQ
659,020560,아시아나항공,KOSPI
660,020710,시공테크,KOSDAQ
661,020760,일진디스플,KOSPI
662,021040,대호피앤씨,KOSDAQ
663,021045,대호피앤씨우,KOSDAQ
664,021050,서원,KOSPI
665,021080,에이티넘인베스트,KOSDAQ
666,021240,코웨이,KOSPI
667,021320,KCC건설,KOSDAQ
668,021650,한국큐빅,KOSDAQ
669,021820,세원정공,KOSPI
670,021880,메이슨캐피탈,KOSDAQ
671,022100,포스코 ICT,KOSDAQ
672,022220,정산애강,KOSDAQ
673,023000,삼원강재,KOSPI
674,023150,MH에탄올,KOSPI
675,023160,태광,KOSDAQ
676,023350,한국종합기술,KOSPI
677,023410,유진기업,KOSDAQ
678,023450,동남합성,KOSPI
679,023460,CNH,KOSDAQ
680,023530,롯데쇼핑,KOSPI
681,023590,다우기술,KOSPI
682,023600,삼보판지,KOSDAQ
683,023760,한국캐피탈,KOSDAQ
684,023790,동일철강,KOSDAQ
685,023800,인지컨트롤스,KOSPI
686,023810,인팩,KOSPI
687,023890,아트라스BX,KOSDAQ
688,023900,풍국주정,KOSDAQ
689,023910,대한약품,KOSDAQ
690,023960,에쓰씨엔지니어링,KOSPI
691,024060,흥구석유,KOSDAQ
692,024070,WISCOM,KOSPI
693,024090,디씨엠,KOSPI
694,024110,기업은행,KOSPI
695,024120,KB오토시스,KOSDAQ
696,024660,하림홀딩스,KOSDAQ
697,024720,한국콜마홀딩스,KOSPI
698,024740,한일단조,KOSDAQ
699,024800,유성티엔에스,KOSDAQ
700,024810,이화전기,KOSDAQ
701,024830,세원물산,KOSDAQ
702,024840,갑을메탈,KOSDAQ
703,024850,피에스엠씨,KOSDAQ
704,024880,케이피에프,KOSDAQ
705,024890,대원화성,KOSPI
706,024900,덕양산업,KOSPI
707,024910,경창산업,KOSDAQ
708,024940,PN풍년,KOSDAQ
709,024950,삼천리자전거,KOSDAQ
710,025000,KPX케미칼,KOSPI
